country,mean,max,min,count
ШИНЭ ЗЕЛАНД,35088.90909090909,48000.0,26098.0,11
СИНГАПУР,25184.545454545456,48000.0,8000.0,11
ШВЕЙЦАРЬ,24627.933333333334,35543.1,13859.0,12
ТУРК,2236.846153846154,10520.0,891.0,13
ТАЙВАНЬ,28918.933333333334,48000.0,9520.0,15
ФРАНЦ,25620.6875,48000.0,5865.0,16
ХЯТАД,20911.263157894737,48000.0,3047.0,19
АВСТРИ,35442.82,48029.4,11981.5,25
НИДЕРЛАНД,23035.08148148148,48026.0,6000.0,27
КАНАД,27762.370588235295,48000.0,8000.0,34
БНСУ,29442.16140350877,48000.0,4500.0,57
Бусад,22368.867796610168,50000.0,1256.9,59
ЯПОН,34574.22891566265,60631.0,3480.0,83
ХБНГУ,26364.727692307693,48013.5,5207.0,130
ОХУ,10467.417857142857,44000.0,1050.0,196
АНГЛИ,26442.35714285714,71730.8,8000.0,196
АВСТРАЛИ,28256.471120689654,48030.0,8000.0,232
АНУ,33133.77790123457,120311.0,3114.5,810
